sir,pasajeros,companyia,conectividad,dineroT,dineroN,tasas,origen,destino,VuelosDesdeOrigen,areaInf
0.8965555922315577,103,RYR,6325,83641.06590992374,15323.791393003628,463.50736128,BRU,ALC,125,Alicante
0.8322913749300918,96,VLG,6325,77956.72162478331,14282.368676974245,519.170304,BRU,ALC,125,Alicante
0.7555243754760316,87,BEL,6325,70648.27897245987,12943.396613507915,485.65424640000003,BRU,ALC,125,Alicante
0.8939406558031792,103,RYR,6325,83641.06590992374,15323.791393003628,488.62006149,BRU,BCN,125,Barcelona
0.8965555922315577,103,RYR,6325,83641.06590992374,15323.791393003628,488.62006149,BRU,BCN,125,Barcelona
0.979317010570898,113,BCS,6325,91761.55774583868,16811.538130188437,801.4117214400001,BRU,BCN,125,Barcelona
0.8965555922315577,103,RYR,6325,83641.06590992374,15323.791393003628,554.6302875,BRU,MAD,125,Madrid
0.980748332726683,113,BCS,6325,91761.55774583868,16811.538130188437,909.6786,BRU,MAD,125,Madrid
0.8310768130236347,96,IBE,6325,77956.72162478331,14282.368676974245,621.2362499999999,BRU,MAD,125,Madrid
0.8310768130236347,96,IBE,6325,77956.72162478331,14282.368676974245,621.2362499999999,BRU,MAD,125,Madrid
0.5036829169840209,58,OVA,6325,47098.85264830657,8628.931075671944,411.19548749999996,BRU,MAD,125,Madrid
0.9070898751853395,103,JAF,6325,83641.06590992374,15323.791393003628,463.50736128,BRU,TFS,125,Tenerife Island
0.9070898751853395,103,JAF,6325,83641.06590992374,15323.791393003628,463.50736128,BRU,TFS,125,Tenerife Island
1.3358888451890198,154,BCS,6325,125055.57427308988,22911.29975264619,457.6378478,BRU,VIT,125,Alava
0.5999157272792596,87,EZS,321,43209.30775993291,16753.15108842723,485.65424640000003,BSL,AGP,53,Málaga
0.5990387276110861,87,EZS,321,43209.30775993291,16753.15108842723,485.65424640000003,BSL,ALC,53,Alicante
0.5964152436175543,87,EZS,321,43209.30775993291,16753.15108842723,511.9668587,BSL,BCN,53,Barcelona
0.5981629815834552,87,EZS,321,43209.30775993291,16753.15108842723,581.131125,BSL,MAD,53,Madrid
